heading (radians),x (meters),y (meters),theta (radians),cost
-1.0904242782108249,-2.0707073912343406,-0.3422894967826521,-1.0904242782108249,1.3232260494577159e-06
-1.090423667080868,-2.070706795244869,-0.34229061001307104,-1.090423667080868,1.262729351799619e-06
-1.090423085586187,-2.0707061611740247,-0.34229168149844813,-1.090423085586187,1.2450408623328464e-06
-1.090422495841345,-2.070705546646198,-0.34229275940496795,-1.090422495841345,1.2407767387567502e-06
-1.0904219004308366,-2.0707049099918837,-0.3422939024568388,-1.0904219004308366,1.3083945487216324e-06
-1.090421301885334,-2.0707042853521456,-0.3422950575362882,-1.090421301885334,1.3131577730647828e-06
-1.090420694426187,-2.070703697722445,-0.34229618323960903,-1.090420694426187,1.2698490585102653e-06
-1.090420078102882,-2.0707031383660754,-0.3422972832341091,-1.090420078102882,1.2340451565523863e-06
-1.0904194542867673,-2.070702574453438,-0.342298398665009,-1.0904194542867673,1.2498734156730377e-06
-1.090418827643719,-2.070701980459064,-0.3422995720899933,-1.090418827643719,1.3152016994584638e-06
-1.090418200363357,-2.0707014044468224,-0.34230073443434966,-1.090418200363357,1.2972411129432687e-06
-1.0904175670752672,-2.0707008567401,-0.3423018626080572,-1.0904175670752672,1.2540967139169566e-06
-1.0904169287661036,-2.0707003267696917,-0.3423029657802701,-1.0904169287661036,1.223869913500932e-06
-1.0904162871321443,-2.070699775226517,-0.34230409990614874,-1.0904162871321443,1.2611270285653438e-06
-1.0904156474780216,-2.070699196188343,-0.34230527759448004,-1.0904156474780216,1.3123395187447252e-06
-1.0904150078084947,-2.0706986396152094,-0.3423064292209374,-1.0904150078084947,1.2790688607615441e-06
-1.0904143649060714,-2.070698106291707,-0.34230754549503356,-1.0904143649060714,1.237134518071932e-06
-1.0904137193436751,-2.070697580992059,-0.3423086432593185,-1.0904137193436751,1.2169741762532216e-06
-1.0904130731985202,-2.07069702251722,-0.34230978708541104,-1.0904130731985202,1.2728834493483498e-06
-1.0904124316701571,-2.0706964462239936,-0.3423109546291916,-1.0904124316701571,1.3020262525645798e-06
-1.0904118180464977,-2.0706958382667953,-0.3423120953017009,-1.0904118180464977,1.292573297185232e-06
-1.0904112574399376,-2.0706951522482426,-0.34231315768593834,-1.0904112574399376,1.2646271080694044e-06
-1.090410740753028,-2.070694410798516,-0.3423141867877267,-1.090410740753028,1.2683840852442519e-06
-1.0904101994978606,-2.070693731775498,-0.3423152406320511,-1.0904101994978606,1.2536586933567207e-06
-1.0904096172366096,-2.070693113158967,-0.342316335127568,-1.0904096172366096,1.2572218773034428e-06
-1.0904089683745748,-2.070692572102204,-0.34231755325547564,-1.0904089683745748,1.3328833482857607e-06
-1.0904082670888733,-2.070692110477537,-0.34231879606658344,-1.0904082670888733,1.3257740315778887e-06
-1.090407569538263,-2.0706916371408175,-0.34232001699272346,-1.090407569538263,1.3094687050511515e-06
-1.0904069361675188,-2.07069107797712,-0.3423211130606774,-1.0904069361675188,1.2304588576467152e-06
-1.0904063961080377,-2.0706903632326354,-0.3423221057400104,-1.0904063961080377,1.223221948864039e-06
